p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
18,21,Ar,0,19,20,K,104,0.00242336,0.0000247747,0.00076925,0.00001608,2025-09-02
18,21,Ar,0,19,20,K,105,0.00242611,0.0000247896,0.000780398,0.0000162851,2025-09-02
18,21,Ar,0,19,20,K,106,0.00242882,0.0000248038,0.000791562,0.0000164896,2025-09-02
18,21,Ar,0,19,20,K,107,0.0024315,0.0000248174,0.00080274,0.0000166936,2025-09-02
18,21,Ar,0,19,20,K,108,0.00243415,0.0000248303,0.000813931,0.000016897,2025-09-02
18,21,Ar,0,19,20,K,109,0.00243676,0.0000248425,0.000825134,0.0000170998,2025-09-02
18,21,Ar,0,19,20,K,110,0.00243934,0.0000248541,0.000836347,0.000017302,2025-09-02
18,21,Ar,0,19,20,K,111,0.00244188,0.000024865,0.000847571,0.0000175035,2025-09-02
18,21,Ar,0,19,20,K,112,0.00244439,0.0000248752,0.000858802,0.0000177043,2025-09-02
18,21,Ar,0,19,20,K,113,0.00244687,0.0000248847,0.000870041,0.0000179044,2025-09-02
18,21,Ar,0,19,20,K,114,0.00244931,0.0000248935,0.000881286,0.0000181037,2025-09-02
18,21,Ar,0,19,20,K,115,0.00245172,0.0000249016,0.000892537,0.0000183023,2025-09-02
18,21,Ar,0,19,20,K,116,0.00245409,0.000024909,0.000903791,0.0000185,2025-09-02
18,21,Ar,0,19,20,K,117,0.00245643,0.0000249156,0.000915049,0.000018697,2025-09-02
18,21,Ar,0,19,20,K,118,0.00245874,0.0000249215,0.000926308,0.0000188931,2025-09-02
18,21,Ar,0,19,20,K,119,0.00246101,0.0000249267,0.000937568,0.0000190884,2025-09-02
18,21,Ar,0,19,20,K,120,0.00246325,0.0000249311,0.000948829,0.0000192828,2025-09-02
18,21,Ar,0,19,20,K,121,0.00246546,0.0000249347,0.000960088,0.0000194762,2025-09-02
18,21,Ar,0,19,20,K,122,0.00246763,0.0000249376,0.000971345,0.0000196688,2025-09-02
18,21,Ar,0,19,20,K,123,0.00246977,0.0000249397,0.000982598,0.0000198603,2025-09-02
18,21,Ar,0,19,20,K,124,0.00247188,0.000024941,0.000993848,0.0000200509,2025-09-02
18,21,Ar,0,19,20,K,125,0.00247395,0.0000249416,0.00100509,0.0000202405,2025-09-02
18,21,Ar,0,19,20,K,126,0.00247599,0.0000249413,0.00101633,0.0000204291,2025-09-02
18,21,Ar,0,19,20,K,127,0.002478,0.0000249402,0.00102756,0.0000206167,2025-09-02
18,21,Ar,0,19,20,K,128,0.00247997,0.0000249383,0.00103879,0.0000208032,2025-09-02
18,21,Ar,0,19,20,K,129,0.00248192,0.0000249356,0.00105,0.0000209886,2025-09-02
18,21,Ar,0,19,20,K,130,0.00248382,0.000024932,0.00106121,0.0000211729,2025-09-02
18,21,Ar,0,19,20,K,131,0.0024857,0.0000249276,0.0010724,0.0000213561,2025-09-02
18,21,Ar,0,19,20,K,132,0.00248754,0.0000249223,0.00108358,0.0000215382,2025-09-02
18,21,Ar,0,19,20,K,133,0.00248935,0.0000249162,0.00109475,0.0000217192,2025-09-02
18,21,Ar,0,19,20,K,134,0.00249112,0.0000249092,0.00110591,0.0000218989,2025-09-02
18,21,Ar,0,19,20,K,135,0.00249287,0.0000249013,0.00111705,0.0000220775,2025-09-02
18,21,Ar,0,19,20,K,136,0.00249457,0.0000248925,0.00112818,0.0000222549,2025-09-02
18,21,Ar,0,19,20,K,137,0.00249625,0.0000248828,0.0011393,0.000022431,2025-09-02
18,21,Ar,0,19,20,K,138,0.00249789,0.0000248722,0.00115039,0.000022606,2025-09-02
18,21,Ar,0,19,20,K,139,0.0024995,0.0000248607,0.00116147,0.0000227796,2025-09-02
18,21,Ar,0,19,20,K,140,0.00250108,0.0000248483,0.00117253,0.000022952,2025-09-02
18,21,Ar,0,19,20,K,141,0.00250262,0.000024835,0.00118357,0.0000231231,2025-09-02
18,21,Ar,0,19,20,K,142,0.00250414,0.0000248207,0.00119459,0.000023293,2025-09-02
18,21,Ar,0,19,20,K,143,0.00250561,0.0000248054,0.00120559,0.0000234615,2025-09-02
18,21,Ar,0,19,20,K,144,0.00250706,0.0000247892,0.00121657,0.0000236287,2025-09-02
18,21,Ar,0,19,20,K,145,0.00250847,0.000024772,0.00122753,0.0000237945,2025-09-02
18,21,Ar,0,19,20,K,146,0.00250984,0.0000247538,0.00123846,0.000023959,2025-09-02
